138,IL_SUM_PTASCOACH_MALE,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Male/Part-Time,,StaffAndSalaries,,,,,total,,assistant,,PartTime
139,IL_SUM_FTACUNIVEMP_MALE,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Male/FTEmp,,StaffAndSalaries,,,,,total,,assistant,FullTime,
140,IL_SUM_PTACUNIVEMP_MALE,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Male/PTEmp,,StaffAndSalaries,,,,,total,,assistant,,PartTime
141,IL_SUM_FTASCOACH_FEM,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Female/Full-Time,,StaffAndSalaries,,,,,total,,assistant,FullTime,
142,IL_SUM_PTASCOACH_FEM,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Female/Part-Time,,StaffAndSalaries,,,,,total,,assistant,,PartTime
143,IL_SUM_FTACUNIVEMP_FEM,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Female/FTEmp,,StaffAndSalaries,,,,,total,,assistant,FullTime,
144,IL_SUM_PTACUNIVEMP_FEM,Num,8,,,Total # Assist. Coach/Men/Women/Coed/Female/PTEmp,,StaffAndSalaries,,,,,total,,assistant,,PartTime
145,IL_SUM_TOTAL_ASSTCOACH,Num,8,,,Total # Assist. Coaches/Men/Women/Coed Teams,,StaffAndSalaries,,,,,total,,assistant,,
146,IL_REV_MEN,Num,8,,,Total Revenues per Team for Men,,,RevenuesAndExpenses,men,,,,,,,
147,IL_REV_WOMEN,Num,8,,,Total Revenues per Team for Women,,,RevenuesAndExpenses,,women,,,,,,
148,IL_TOTAL_REV_MENWOMEN,Num,8,,,Total Revenues per Team for Men and Women,,,RevenuesAndExpenses,,,,total,,,,
149,IL_REV_COED_MEN,Num,8,,,Total Revenues per Team for Coed Men,,,RevenuesAndExpenses,,,coed,,,,,
150,IL_REV_COED_WOMEN,Num,8,,,Total Revenues per Team for Coed Women,,,RevenuesAndExpenses,,,coed,,,,,
151,IL_TOTAL_REV_COED,Num,8,,,Total Revenues per Team/ Coed Men/Coed Women,,,RevenuesAndExpenses,,,,total,,,,
152,IL_REVENUE_MENALL,Num,8,,,Total Revenues per Team for Men's and Coed Men,,,RevenuesAndExpenses,men,,,,,,,
153,IL_REVENUE_WOMENALL,Num,8,,,Total Revenues per Team for Women's and Coed Women,,,RevenuesAndExpenses,,women,,,,,,
154,IL_TOTAL_REVENUE_ALL,Num,8,,,Total Revenues per Team and Total Coed Revenues,,,RevenuesAndExpenses,,,,total,,,,
155,IL_EXP_MEN,Num,8,,,Total Expenses per Team for Men,,,RevenuesAndExpenses,men,,,,,,,
156,IL_EXP_WOMEN,Num,8,,,Total Expenses per Team for Women,,,RevenuesAndExpenses,,women,,,,,,
157,IL_TOTAL_EXP_MENWOMEN,Num,8,,,Total Expenses per Team for Men and Women,,,RevenuesAndExpenses,,,,total,,,,
158,IL_EXP_COED_MEN,Num,8,,,Total Expenses per Team for Coed Men,,,RevenuesAndExpenses,,,coed,,,,,
159,IL_EXP_COED_WOMEN,Num,8,,,Total Expenses per Team for Coed Women,,,RevenuesAndExpenses,,,coed,,,,,
160,IL_TOTAL_EXP_COED,Num,8,,,Total Expenses per Team/Coed Men and Coed Women,,,RevenuesAndExpenses,,,,total,,,,
161,IL_EXPENSE_MENALL,Num,8,,,Total Expenses per Team for Men's and Coed Men,,,RevenuesAndExpenses,men,,,,,,,
162,IL_EXPENSE_WOMENALL,Num,8,,,Total Expenses per Team for Women's and Coed Women,,,RevenuesAndExpenses,,women,,,,,,
163,IL_TOTAL_EXPENSE_ALL,Num,8,,,Total Sum of Expenses per Team and Total Coed Expenses,,,RevenuesAndExpenses,,,,total,,,,
164,UNDUP_CT_PARTIC_MEN,Num,8,,,Unduplicated Counts of Participants in Men's Team and Men's Coed Team,participant,,,men,,,,,,,
165,UNDUP_CT_PARTIC_WOMEN,Num,8,,,Unduplicated Counts of Participants in Women's Team and Women's Coed Team.,participant,,,,women,,,,,,
166,TOT_REVENUE_ALL_NOTALLOC,Num,8,,,Total Revenues Not Allocated by Gender/Sport,,,RevenuesAndExpenses,,,,total,,,,
167,TOT_EXPENSE_ALL_NOTALLOC,Num,8,,,Total Expenses Not Allocated by Gender/Sport,,,RevenuesAndExpenses,,,,total,,,,
168,GRND_TOTAL_REVENUE,Num,8,,,Grand Total Revenues,,,RevenuesAndExpenses,,,,total,,,,
169,GRND_TOTAL_EXPENSE,Num,8,,,Grand Total Expenses,,,RevenuesAndExpenses,,,,total,,,,
